1.000000000000000000e+00 1.686455277849276688e-03 1.701198137934039744e-03 1.700152178347327922e-03 3.778401496747138403e-05 4.008035507680898177e-05 3.822871370052278084e-05
2.000000000000000000e+00 6.687120744150435239e-03 6.746429475315510876e-03 6.739675043812451589e-03 5.728606754318290792e-04 6.058954715691226844e-04 5.768602488869132520e-04
3.000000000000000000e+00 1.484708421655808394e-02 1.498131065585184794e-02 1.496215627897396622e-02 2.669405444187620841e-03 2.811212974757983530e-03 2.671736864812258774e-03
4.000000000000000000e+00 2.594067491603561232e-02 2.618070814168042132e-02 2.614259615299049586e-02 7.591020592961013162e-03 7.953871717172680128e-03 7.550529054913072621e-03
5.000000000000000000e+00 3.969347728625761962e-02 4.007038091469060370e-02 4.000711911419217726e-02 1.640268644328295861e-02 1.709366110868248273e-02 1.622459497352666744e-02
6.000000000000000000e+00 5.580531171851281502e-02 5.634948409618968646e-02 5.625446250700457534e-02 2.977693014793589971e-02 3.086157998616337675e-02 2.931921341514873158e-02
7.000000000000000000e+00 7.397004675923339601e-02 7.471033806901937468e-02 7.457575986470479923e-02 4.797946480405038822e-02 4.947192625867972288e-02 4.708609319721992342e-02
8.000000000000000000e+00 9.389059703289724668e-02 9.485352319794339293e-02 9.466981010328220925e-02 7.093879053400276025e-02 7.281765664936333537e-02 6.949070331727863481e-02
1.000000000000000000e+01 1.379126505031620098e-01 1.393878327017025187e-01 1.390684080540727230e-01 1.297153874956242792e-01 1.322086511353408045e-01 1.271144842345383885e-01
1.200000000000000000e+01 1.859649668952408630e-01 1.880185830978854111e-01 1.874974164141537114e-01 2.023083222942348436e-01 2.050075602575891220e-01 1.989241344735904748e-01
1.500000000000000000e+01 2.625101699349721707e-01 2.655078502030311927e-01 2.645175452423854101e-01 3.291632834941342622e-01 3.310032370781445521e-01 3.251745602032008464e-01
1.800000000000000000e+01 3.415757382788104368e-01 3.455872754622158483e-01 3.438861661747916743e-01 4.710716102794192395e-01 4.706789108546989286e-01 4.664566127889577252e-01
2.200000000000000000e+01 4.476376831925065192e-01 4.531335070705824752e-01 4.501056405464100574e-01 6.773197556033687672e-01 6.731220222843136147e-01 6.714134201584937012e-01
2.600000000000000000e+01 5.522259545679746306e-01 5.594378285873706780e-01 5.547303595029192680e-01 9.003309586511806240e-01 8.924325778998275505e-01 8.910032194250826487e-01
3.100000000000000000e+01 6.790215778678183600e-01 6.889304695027174130e-01 6.817929739761259267e-01 1.203791007272153823e+00 1.192499844779492335e+00 1.186616614395870295e+00
3.800000000000000000e+01 8.479361900855286738e-01 8.628997571421891388e-01 8.514216422204593515e-01 1.674190781496109226e+00 1.654304190094479710e+00 1.636535309388820858e+00
4.600000000000000000e+01 1.029736121086339828e+00 1.051566080012205751e+00 1.033783276699828946e+00 2.266133363376917398e+00 2.226526948005894901e+00 2.193484694362707987e+00
5.500000000000000000e+01 1.222051914628686786e+00 1.252643635287532975e+00 1.227209065743828598e+00 2.969908416521131134e+00 2.912285284434191102e+00 2.855591644441699106e+00
6.600000000000000000e+01 1.442785630709642719e+00 1.485615541280132179e+00 1.450037895743694794e+00 3.886208555397735687e+00 3.826489882944215992e+00 3.708633781524920181e+00
7.900000000000000000e+01 1.688376094387647575e+00 1.746762701986480648e+00 1.696985566330112327e+00 5.042137104632564260e+00 4.993941511813421386e+00 4.761700966307315319e+00
